['10.1021/acs.jmedchem.0c01312', 0]
['10.1021/acs.jmedchem.0c01949', 1]
['10.1021/acs.jmedchem.8b00057', 2]
['10.1021/acs.jmedchem.7b00622', 3]
['10.1021/jm3017706', 4]
['10.1021/acs.jmedchem.7b01243', 7]
['10.1021/jm800874t', 8]
['10.1021/acs.jmedchem.0c02085', 9]
['10.1021/acs.jmedchem.9b01577', 11]
['10.1021/acs.jmedchem.9b01720', 13]
['10.1021/acs.jmedchem.6b01862', 14]
['10.1021/acs.jmedchem.5b00067', 15]
